sys_sample_code,sample_date,site,location,lab_sdg,sample_source,nysdec_sample_type,chemical_name,fraction,result_value,result_unit,lab_flag,lab_anl_method_name,cas_rn,method_detection_limit,detection_limit_unit,quantitation_limit,analysis_date,equipment_blank_ssc,equipment_blank,equipment_blank_result_value,precision_ssc,precision,precision_result_value,accuracy_ssc,accuracy,accuracy_result_value,qc
083120esf0900eff,2020-08-31T13:00:00Z,esf,effluent,R2007971,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.29,mg/l,no_flag,E365.1,7723-14-0,0.036,mg/l,0.05,09-03-2020 13:47:00,083120clk1200effeb,pass,0,083120clk1200effdup,fail,26%,083120con1200amb ms,pass,0.037,reject
083120esf0900inf,2020-08-31T13:00:00Z,esf,influent,R2007971,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.02,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,09-03-2020 13:02:00,083120clk1200effeb,pass,0,083120clk1200effdup,fail,26%,083120con1200amb ms,pass,0.037,reject
083120esf1200amb,2020-08-31T16:00:00Z,esf,ambient,R2007971,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0146,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,09-03-2020 12:58:00,083120clk1200effeb,pass,0,083120clk1200effdup,fail,26%,083120con1200amb ms,pass,0.037,reject
083120esf1200eff,2020-08-31T16:00:00Z,esf,effluent,R2007971,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.224,mg/l,no_flag,E365.1,7723-14-0,0.036,mg/l,0.05,09-03-2020 13:48:00,083120clk1200effeb,pass,0,083120clk1200effdup,fail,26%,083120con1200amb ms,pass,0.037,reject
083120esf1200inf,2020-08-31T16:00:00Z,esf,influent,R2007971,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0138,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,09-03-2020 13:09:00,083120clk1200effeb,pass,0,083120clk1200effdup,fail,26%,083120con1200amb ms,pass,0.037,reject
083120esf1500eff,2020-08-31T19:00:00Z,esf,effluent,R2007971,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.21,mg/l,no_flag,E365.1,7723-14-0,0.036,mg/l,0.05,09-03-2020 13:49:00,083120clk1200effeb,pass,0,083120clk1200effdup,fail,26%,083120con1200amb ms,pass,0.037,reject
083120esf1500inf,2020-08-31T19:00:00Z,esf,influent,R2007971,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0146,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,09-03-2020 13:13:00,083120clk1200effeb,pass,0,083120clk1200effdup,fail,26%,083120con1200amb ms,pass,0.037,reject
090120clk0900eff,2020-09-01T13:00:00Z,clarkson,effluent,R2008016,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0432,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,09-10-2020 22:40:00,090120esf1200ambeb; 090120esf1200infeb,pass; pass,0; 0.0046,090120esf1200ambdup; 090120esf1200infdup,pass; pass,7%; 12%,083120con1200amb ms,pass,0.037,accept
090120clk0900inf,2020-09-01T13:00:00Z,clarkson,influent,R2008016,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0118,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,09-10-2020 22:39:00,090120esf1200ambeb; 090120esf1200infeb,pass; pass,0; 0.0046,090120esf1200ambdup; 090120esf1200infdup,pass; pass,7%; 12%,083120con1200amb ms,pass,0.037,accept
090120esf0900eff,2020-09-01T13:00:00Z,esf,effluent,R2008016,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.138,mg/l,no_flag,E365.1,7723-14-0,0.018,mg/l,0.025,09-10-2020 23:59:00,090120esf1200ambeb; 090120esf1200infeb,pass; pass,0; 0.0046,090120esf1200ambdup; 090120esf1200infdup,pass; pass,7%; 12%,083120con1200amb ms,pass,0.037,accept
090120esf0900inf,2020-09-01T13:00:00Z,esf,influent,R2008016,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.019,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,09-10-2020 22:41:00,090120esf1200ambeb; 090120esf1200infeb,pass; pass,0; 0.0046,090120esf1200ambdup; 090120esf1200infdup,pass; pass,7%; 12%,083120con1200amb ms,pass,0.037,accept
090120clk1200amb,2020-09-01T16:00:00Z,clarkson,ambient,R2008016,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0169,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,09-10-2020 22:37:00,090120esf1200ambeb; 090120esf1200infeb,pass; pass,0; 0.0046,090120esf1200ambdup; 090120esf1200infdup,pass; pass,7%; 12%,090220clkpredoc ms,pass,0.0471,accept
090120clk1200eff,2020-09-01T16:00:00Z,clarkson,effluent,R2008016,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0727,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,09-10-2020 22:46:00,090120esf1200ambeb; 090120esf1200infeb,pass; pass,0; 0.0046,090120esf1200ambdup; 090120esf1200infdup,pass; pass,7%; 12%,090220clkpredoc ms,pass,0.0471,accept
