sys_sample_code,sample_date,chemical_name,cas_rn,result_value,result_unit,method_detection_limit,quantitation_limit,detection_limit_unit,analysis_date,Lab,lab_qualifiers,fraction,lab_sdg,sample_type_code,DEC_sample_type,qc_original_conc,qc_spike_added,qc_spike_measured,sample_source
16-CHUR-0.1,9/6/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.05,mg/L,,,,,Smith,,T,byhand,N,N,,,,
16-CHUR-0.1,9/6/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.2,mg/L,,,,,Smith,,T,byhand,N,N,,,,
16-CHUR-0.1,9/6/2018,"NITROGEN, NITRATE (AS N)",,0.36,mg/L,0.1,0.1,mg/L,9/7/2018 17:07,Smith,,T,byhand,N,N,,,,
16-CHUR-0.1,9/6/2018,"NITROGEN, NITRITE",,<0.05,mg/L,0.05,0.05,mg/L,9/7/2018 17:07,Smith,U,T,byhand,N,N,,,,
16-CHUR-0.1,9/6/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.064,mg/L,,,,,Smith,,T,byhand,N,N,,,,
16-CHUR-0.1,9/25/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,0.26,mg/L,,,,,Smith,NJ,T,byhand,N,N,,,,
16-CHUR-0.1,9/25/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,1.4,mg/L,,,,,Smith,NJ,T,byhand,N,N,,,,
16-CHUR-0.1,9/25/2018,"NITROGEN, NITRATE (AS N)",,0.31,mg/L,,,,,Smith,HT3,T,byhand,N,N,,,,
16-CHUR-0.1,9/25/2018,"NITROGEN, NITRITE",,<0.05,mg/L,,,,,Smith,"HT3,U",T,byhand,N,N,,,,
16-CHUR-0.1,9/25/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.26,mg/L,,,,,Smith,"NJ,X",T,byhand,N,N,,,,
16-DEUH-0.1,7/26/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.2,mg/L,0.2,0.2,mg/L,8/14/2018 8:50,Smith,"NJ, U",T,byhand,N,N,,,,
16-DEUH-0.1,7/26/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,2.5,mg/L,0.4,0.4,mg/L,8/20/2018 9:44,Smith,NJ,T,byhand,N,N,,,,
16-DEUH-0.1,7/26/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,<0.02,mg/L,0.02,0.02,mg/L,8/6/2018 14:41,Smith,NJ,T,byhand,N,N,,,,
16-DEUH-0.1,9/6/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.05,mg/L,,,,,Smith,,T,byhand,N,N,,,,
16-DEUH-0.1,9/6/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,<0.1,mg/L,,,,,Smith,,T,byhand,N,N,,,,
16-DEUH-0.1,9/6/2018,"NITROGEN, NITRATE (AS N)",,0.21,mg/L,0.1,0.1,mg/L,9/7/2018 20:02,Smith,,T,byhand,N,N,,,,
16-DEUH-0.1,9/6/2018,"NITROGEN, NITRITE",,<0.05,mg/L,0.05,0.05,mg/L,9/7/2018 20:02,Smith,U,T,byhand,N,N,,,,
16-DEUH-0.1,9/6/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,<0.01,mg/L,,,,,Smith,,T,byhand,N,N,,,,
16-DEUH-0.1,9/25/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,0.2,mg/L,,,,,Smith,NJ,T,byhand,N,N,,,,
16-DEUH-0.1,9/25/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.59,mg/L,,,,,Smith,NJ,T,byhand,N,N,,,,
16-DEUH-0.1,9/25/2018,"NITROGEN, NITRATE (AS N)",,0.11,mg/L,,,,,Smith,,T,byhand,N,N,,,,
16-DEUH-0.1,9/25/2018,"NITROGEN, NITRITE",,<0.05,mg/L,,,,,Smith,U,T,byhand,N,N,,,,
16-DEUH-0.1,9/25/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.13,mg/L,,,,,Smith,NJ,T,byhand,N,N,,,,
16-MLHU-1.0,7/26/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,0.59,mg/L,0.2,0.2,mg/L,8/8/2018 8:45,Smith,NJ,T,byhand,N,N,,,,
16-MLHU-1.0,7/26/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,3.2,mg/L,0.4,0.4,mg/L,8/15/2018 8:00,Smith,NJ,T,byhand,N,N,,,,
16-MLHU-1.0,7/26/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.04,mg/L,0.02,0.02,mg/L,8/6/2018 14:41,Smith,NJ,T,byhand,N,N,,,,
16-MLHU-1.0,9/6/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.05,mg/L,,,,,Smith,,T,byhand,N,N,,,,
16-MLHU-1.0,9/6/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.19,mg/L,,,,,Smith,,T,byhand,N,N,,,,
16-MLHU-1.0,9/6/2018,"NITROGEN, NITRATE (AS N)",,0.2,mg/L,0.1,0.1,mg/L,9/7/2018 14:50,Smith,,T,byhand,N,N,,,,
16-MLHU-1.0,9/6/2018,"NITROGEN, NITRITE",,<0.05,mg/L,0.05,0.05,mg/L,9/7/2018 14:50,Smith,U,T,byhand,N,N,,,,
16-MLHU-1.0,9/6/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.02,mg/L,,,,,Smith,,T,byhand,N,N,,,,
16-MLHU-1.0,9/25/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.20,mg/L,,,,,Smith,"NJ,U",T,byhand,N,N,,,,
16-MLHU-1.0,9/25/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,1,mg/L,,,,,Smith,NJ,T,byhand,N,N,,,,
16-MLHU-1.0,9/25/2018,"NITROGEN, NITRATE (AS N)",,0.13,mg/L,,,,,Smith,,T,byhand,N,N,,,,
16-MLHU-1.0,9/25/2018,"NITROGEN, NITRITE",,<0.05,mg/L,,,,,Smith,U,T,byhand,N,N,,,,
16-MLHU-1.0,9/25/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.038,mg/L,,,,,Smith,NJ,T,byhand,N,N,,,,
16-MLLR-0.5,7/26/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.2,mg/L,0.2,0.2,mg/L,8/14/2018 8:50,Smith,"NJ, U",T,byhand,N,N,,,,
16-MLLR-0.5,7/26/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.36,mg/L,0.2,0.2,mg/L,8/20/2018 9:44,Smith,NJ,T,byhand,N,N,,,,
16-MLLR-0.5,7/26/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.033,mg/L,0.02,0.02,mg/L,8/6/2018 14:41,Smith,NJ,T,byhand,N,N,,,,
16-MLLR-0.5,9/6/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.05,mg/L,,,,,Smith,,T,byhand,N,N,,,,
16-MLLR-0.5,9/6/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.18,mg/L,,,,,Smith,,T,byhand,N,N,,,,
16-MLLR-0.5,9/6/2018,"NITROGEN, NITRATE (AS N)",,0.22,mg/L,0.1,0.1,mg/L,9/7/2018 18:44,Smith,,T,byhand,N,N,,,,
16-MLLR-0.5,9/6/2018,"NITROGEN, NITRITE",,<0.05,mg/L,0.05,0.05,mg/L,9/7/2018 18:44,Smith,U,T,byhand,N,N,,,,
16-MLLR-0.5,9/6/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.027,mg/L,,,,,Smith,,T,byhand,N,N,,,,
16-MLLR-0.5,9/25/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,1.6,mg/L,,,,,Smith,NJ,T,byhand,N,N,,,,
16-MLLR-0.5,9/25/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.87,mg/L,,,,,Smith,NJ,T,byhand,N,N,,,,
16-MLLR-0.5,9/25/2018,"NITROGEN, NITRATE (AS N)",,0.2,mg/L,,,,,Smith,HT3,T,byhand,N,N,,,,
16-MLLR-0.5,9/25/2018,"NITROGEN, NITRITE",,<0.05,mg/L,,,,,Smith,"HT3,U",T,byhand,N,N,,,,
16-MLLR-0.5,9/25/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.09,mg/L,,,,,Smith,NJ,T,byhand,N,N,,,,
16-SWMP-0.1,7/26/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,-,mg/L,,,,,Smith,,T,byhand,N,N,,,,
16-SWMP-0.1,7/26/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,-,mg/L,,,,,Smith,,T,byhand,N,N,,,,
16-SWMP-0.1,7/26/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,-,mg/L,,,,,Smith,,T,byhand,N,N,,,,
16-SWMP-0.1,9/6/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.05,mg/L,,,,,Smith,,T,byhand,N,N,,,,
16-SWMP-0.1,9/6/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.18,mg/L,,,,,Smith,,T,byhand,N,N,,,,
16-SWMP-0.1,9/6/2018,"NITROGEN, NITRATE (AS N)",,0.12,mg/L,0.1,0.1,mg/L,9/7/2018 19:23,Smith,,T,byhand,N,N,,,,
