sys_sample_code,sample_date,chemical_name,cas_rn,result_value,result_unit,Lab,lab_qualifiers,fraction,lab_sdg,sample_type_code,DEC_sample_type,qc_original_conc,qc_spike_added,qc_spike_measured,,analysis_date
16-CHUR-0.1,9/25/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.26,mg/L,Smith,"NJ,X",T,byhand,N,N,,,,,
16-DEUH-0.1,7/26/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.2,mg/L,Smith,"NJ, U",T,byhand,N,N,,,,,
16-DEUH-0.1,7/26/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,2.5,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-DEUH-0.1,7/26/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,<0.02,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-DEUH-0.1,9/6/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.05,mg/L,Smith,,T,byhand,N,N,,,,,
16-DEUH-0.1,9/6/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,<0.1,mg/L,Smith,,T,byhand,N,N,,,,,
16-DEUH-0.1,9/6/2018,"NITROGEN, NITRATE (AS N)",,0.21,mg/L,Smith,,T,byhand,N,N,,,,,
16-DEUH-0.1,9/6/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,U,T,byhand,N,N,,,,,
16-DEUH-0.1,9/6/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,<0.01,mg/L,Smith,,T,byhand,N,N,,,,,
16-DEUH-0.1,9/25/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,0.2,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-DEUH-0.1,9/25/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.59,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-DEUH-0.1,9/25/2018,"NITROGEN, NITRATE (AS N)",,0.11,mg/L,Smith,,T,byhand,N,N,,,,,
