sys_sample_code,sample_date,site,location,lab_sdg,sample_source,nysdec_sample_type,chemical_name,fraction,result_value,result_unit,lab_flag,lab_anl_method_name,cas_rn,method_detection_limit,detection_limit_unit,quantitation_limit,analysis_date,equipment_blank_ssc,equipment_blank,equipment_blank_result_value,precision_ssc,precision,precision_result_value,accuracy_ssc,accuracy,accuracy_result_value,holding_time_value,holding_time,qc
083120con1200amb,2020-08-31T16:00:00Z,control,ambient,R2007971,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0126,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-03T16:54:00Z,083120clk1200effeb,pass,0,083120clk1200effdup,fail,26%,083120con1200amb ms,pass,0.037,72.9,pass,reject
083120esf0900eff,2020-08-31T13:00:00Z,esf,effluent,R2007971,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.29,mg/l,no_flag,E365.1,7723-14-0,0.036,mg/l,0.05,2020-09-03T17:47:00Z,083120clk1200effeb,pass,0,083120clk1200effdup,fail,26%,083120con1200amb ms,pass,0.037,76.7833333333333,pass,reject
083120esf0900inf,2020-08-31T13:00:00Z,esf,influent,R2007971,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.02,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-03T17:02:00Z,083120clk1200effeb,pass,0,083120clk1200effdup,fail,26%,083120con1200amb ms,pass,0.037,76.0333333333333,pass,reject
083120esf1200amb,2020-08-31T16:00:00Z,esf,ambient,R2007971,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0146,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-03T16:58:00Z,083120clk1200effeb,pass,0,083120clk1200effdup,fail,26%,083120con1200amb ms,pass,0.037,72.9666666666667,pass,reject
083120esf1200eff,2020-08-31T16:00:00Z,esf,effluent,R2007971,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.224,mg/l,no_flag,E365.1,7723-14-0,0.036,mg/l,0.05,2020-09-03T17:48:00Z,083120clk1200effeb,pass,0,083120clk1200effdup,fail,26%,083120con1200amb ms,pass,0.037,73.8,pass,reject
083120esf1200inf,2020-08-31T16:00:00Z,esf,influent,R2007971,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0138,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-03T17:09:00Z,083120clk1200effeb,pass,0,083120clk1200effdup,fail,26%,083120con1200amb ms,pass,0.037,73.15,pass,reject
083120esf1500eff,2020-08-31T19:00:00Z,esf,effluent,R2007971,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.21,mg/l,no_flag,E365.1,7723-14-0,0.036,mg/l,0.05,2020-09-03T17:49:00Z,083120clk1200effeb,pass,0,083120clk1200effdup,fail,26%,083120con1200amb ms,pass,0.037,70.8166666666667,pass,reject
083120esf1500inf,2020-08-31T19:00:00Z,esf,influent,R2007971,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0146,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-03T17:13:00Z,083120clk1200effeb,pass,0,083120clk1200effdup,fail,26%,083120con1200amb ms,pass,0.037,70.2166666666667,pass,reject
090120clk0900eff,2020-09-01T13:00:00Z,clarkson,effluent,R2008016,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0432,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-11T02:40:00Z,090120esf1200ambeb; 090120esf1200infeb,pass; pass,0; 0.0046,090120esf1200ambdup; 090120esf1200infdup,pass; pass,7%; 12%,083120con1200amb ms,pass,0.037,229.666666666667,pass,accept
090120clk0900inf,2020-09-01T13:00:00Z,clarkson,influent,R2008016,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0118,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-11T02:39:00Z,090120esf1200ambeb; 090120esf1200infeb,pass; pass,0; 0.0046,090120esf1200ambdup; 090120esf1200infdup,pass; pass,7%; 12%,083120con1200amb ms,pass,0.037,229.65,pass,accept
090120esf0900eff,2020-09-01T13:00:00Z,esf,effluent,R2008016,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.138,mg/l,no_flag,E365.1,7723-14-0,0.018,mg/l,0.025,2020-09-11T03:59:00Z,090120esf1200ambeb; 090120esf1200infeb,pass; pass,0; 0.0046,090120esf1200ambdup; 090120esf1200infdup,pass; pass,7%; 12%,083120con1200amb ms,pass,0.037,230.983333333333,pass,accept
090120esf0900inf,2020-09-01T13:00:00Z,esf,influent,R2008016,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.019,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-11T02:41:00Z,090120esf1200ambeb; 090120esf1200infeb,pass; pass,0; 0.0046,090120esf1200ambdup; 090120esf1200infdup,pass; pass,7%; 12%,083120con1200amb ms,pass,0.037,229.683333333333,pass,accept
090120clk1200amb,2020-09-01T16:00:00Z,clarkson,ambient,R2008016,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0169,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-11T02:37:00Z,090120esf1200ambeb; 090120esf1200infeb,pass; pass,0; 0.0046,090120esf1200ambdup; 090120esf1200infdup,pass; pass,7%; 12%,090220clkpredoc ms,pass,0.0471,226.616666666667,pass,accept
090120clk1200eff,2020-09-01T16:00:00Z,clarkson,effluent,R2008016,Field,standard_sample,"PHOSPHORUS, DISSOLVED (AS P)",D,0.0727,mg/l,no_flag,E365.1,7723-14-0,0.0036,mg/l,0.005,2020-09-11T02:46:00Z,090120esf1200ambeb; 090120esf1200infeb,pass; pass,0; 0.0046,090120esf1200ambdup; 090120esf1200infdup,pass; pass,7%; 12%,090220clkpredoc ms,pass,0.0471,226.766666666667,pass,accept
