"sys_sample_code","lab_anl_method_name","analysis_date","fraction","column_number","test_type","lab_matrix_code","analysis_location","basis","container_id","dilution_factor","prep_method","prep_date","leachate_method","leachate_date","lab_name_code","qc_level","lab_sample_id","percent_moisture","subsample_amount","subsample_amount_unit","analyst_name","instrument_id","comment.x","preservative","final_volume","final_volume_unit","cas_rn","chemical_name","result_value","result_error_delta","result_type_code","reportable_result","detect_flag","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","validated_yn","method_detection_limit","reporting_detection_limit","quantitation_limit","result_unit","detection_limit_unit","tic_retention_time","minimum_detectable_conc","counting_error","uncertainty","critical_value","validation_level","result_comment","qc_original_conc","qc_spike_added","qc_spike_measured","qc_spike_recovery","qc_dup_original_conc","qc_dup_spike_added","qc_dup_spike_measured","qc_dup_spike_recovery","qc_rpd","qc_spike_lcl","qc_spike_ucl","qc_rpd_cl","qc_spike_status","qc_dup_spike_status","qc_rpd_status","lab_sdg","X.data_provider","sample_name","sample_matrix_code","sample_type_code","sample_source","parent_sample_code","sample_delivery_group","sample_date","sys_loc_code","start_depth","end_depth","depth_unit","chain_of_custody","sent_to_lab_date","sample_receipt_date","sampler","sampling_company_code","sampling_reason","sampling_technique","task_code","collection_quarter","composite_yn","composite_desc","sample_class","custom_field_1","custom_field_2","custom_field_3","comment.y","SiteID","DEC_sample_type"
"07-BSWP-1.3-07312018-WS","E351.2","08/22/2018 12:33:00","T",NA,"initial","WS","LB",NA,NA,1,"METHOD","08/21/2018 13:46:00",NA,NA,"ALSRNY","quant","R1807213-003",NA,20,"mL",NA,NA,NA,NA,20,"mL","KN","NITROGEN, KJELDAHL, TOTAL",0.63,NA,"TRG","Yes","Y","",NA,"",NA,0.08,NA,0.1,"mg/l","mg/l",NA,0.08,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-BSWP-1.3-07312018-WS","WS","N","Field","","R1807213","07/31/2018 13:30:00","Unknown",NA,NA,NA,NA,NA,"08/01/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-BSWP-1.3","N"
"07-BSWP-1.3-07312018-WS","E365.1","08/18/2018 14:59:00","T",NA,"initial","WS","LB",NA,NA,1,"METHOD","08/17/2018 14:04:00",NA,NA,"ALSRNY","quant","R1807213-003",NA,20,"mL",NA,NA,NA,NA,20,"mL","7723-14-0","PHOSPHORUS, TOTAL (AS P)",0.0245,NA,"TRG","Yes","Y","",NA,"",NA,0.002,NA,0.005,"mg/l","mg/l",NA,0.002,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-BSWP-1.3-07312018-WS","WS","N","Field","","R1807213","07/31/2018 13:30:00","Unknown",NA,NA,NA,NA,NA,"08/01/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-BSWP-1.3","N"
"07-BSWP-1.3-07312018-WS","E200.8","08/13/2018 14:52:00","T",NA,"initial","WS","LB",NA,NA,1,"E200.0","08/10/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807213-003",NA,10,"mL",NA,NA,NA,NA,10,"mL","7429-90-5","Aluminum",53.4,NA,"TRG","Yes","Y","",NA,"",NA,2.3,NA,10,"ug/l","ug/l",NA,2.3,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-BSWP-1.3-07312018-WS","WS","N","Field","","R1807213","07/31/2018 13:30:00","Unknown",NA,NA,NA,NA,NA,"08/01/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-BSWP-1.3","N"
"07-BSWP-1.3-07312018-WS","E200.8","08/13/2018 14:52:00","T",NA,"initial","WS","LB",NA,NA,1,"E200.0","08/10/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807213-003",NA,10,"mL",NA,NA,NA,NA,10,"mL","7440-38-2","Arsenic",0.41,NA,"TRG","Yes","Y","J",NA,"J",NA,0.39,NA,1,"ug/l","ug/l",NA,0.39,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-BSWP-1.3-07312018-WS","WS","N","Field","","R1807213","07/31/2018 13:30:00","Unknown",NA,NA,NA,NA,NA,"08/01/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-BSWP-1.3","N"
"07-BSWP-1.3-07312018-WS","E200.8","08/13/2018 14:52:00","T",NA,"initial","WS","LB",NA,NA,1,"E200.0","08/10/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807213-003",NA,10,"mL",NA,NA,NA,NA,10,"mL","7440-43-9","Cadmium",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.064,0.064,1,"ug/l","ug/l",NA,0.064,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-BSWP-1.3-07312018-WS","WS","N","Field","","R1807213","07/31/2018 13:30:00","Unknown",NA,NA,NA,NA,NA,"08/01/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-BSWP-1.3","N"
"07-BSWP-1.3-07312018-WS","E200.7","08/14/2018 14:07:00","T",NA,"initial","WS","LB",NA,NA,1,"SW3010A","08/10/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807213-003",NA,10,"mL",NA,NA,NA,NA,10,"mL","7439-95-4","Magnesium",3800,NA,"TRG","Yes","Y","",NA,"",NA,29,NA,1000,"ug/l","ug/l",NA,29,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-BSWP-1.3-07312018-WS","WS","N","Field","","R1807213","07/31/2018 13:30:00","Unknown",NA,NA,NA,NA,NA,"08/01/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-BSWP-1.3","N"
"07-BSWP-1.3-07312018-WS","E200.7","08/14/2018 14:07:00","T",NA,"initial","WS","LB",NA,NA,1,"SW3010A","08/10/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807213-003",NA,10,"mL",NA,NA,NA,NA,10,"mL","7439-89-6","Iron",180,NA,"TRG","Yes","Y","",NA,"",NA,13,NA,100,"ug/l","ug/l",NA,13,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-BSWP-1.3-07312018-WS","WS","N","Field","","R1807213","07/31/2018 13:30:00","Unknown",NA,NA,NA,NA,NA,"08/01/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-BSWP-1.3","N"
"07-BSWP-1.3-07312018-WS","E200.8","08/13/2018 14:52:00","T",NA,"initial","WS","LB",NA,NA,1,"E200.0","08/10/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807213-003",NA,10,"mL",NA,NA,NA,NA,10,"mL","7440-66-6","Zinc",NA,NA,"TRG","Yes","N","U",NA,"U",NA,2.5,2.5,5,"ug/l","ug/l",NA,2.5,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-BSWP-1.3-07312018-WS","WS","N","Field","","R1807213","07/31/2018 13:30:00","Unknown",NA,NA,NA,NA,NA,"08/01/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-BSWP-1.3","N"
"07-BSWP-1.3-07312018-WS","E180.1","08/02/2018 09:30:00","T",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807213-003",NA,NA,"",NA,NA,NA,NA,NA,"","TURB","TURBIDITY",0.71,NA,"TRG","Yes","Y","",NA,"",NA,0.06,NA,0.1,"ntu","ntu",NA,0.06,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-BSWP-1.3-07312018-WS","WS","N","Field","","R1807213","07/31/2018 13:30:00","Unknown",NA,NA,NA,NA,NA,"08/01/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-BSWP-1.3","N"
"07-BSWP-1.3-07312018-WSMS","E200.8","08/13/2018 14:54:00","T",NA,"initial","WS","LB",NA,NA,1,"E200.0","08/10/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807213-003S",NA,10,"mL",NA,NA,NA,NA,10,"mL","7440-43-9","Cadmium",20.9,NA,"SC","Yes","Y","",NA,"",NA,0.06,NA,1,"ug/l","ug/l",NA,0.06,NA,NA,NA,NA,"",0,20,20.9,104,NA,NA,NA,NA,"",70,130,NA,"","",NA,"R1807213","ALSRNY","07-BSWP-1.3-07312018-WS","WS","MS","Lab","07-BSWP-1.3-07312018-WS","R1807213","07/31/2018 13:30:00","Unknown",NA,NA,NA,NA,NA,"08/01/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,NA,"Lab"
