SiteID,sample_name,DEC_sample_type,sys_sample_code,lab_anl_method_name,analysis_date,fraction,column_number,test_type,lab_matrix_code,analysis_location,basis,container_id,dilution_factor,prep_method,prep_date,leachate_method,leachate_date,lab_name_code,qc_level,lab_sample_id,percent_moisture,subsample_amount,subsample_amount_unit,analyst_name,instrument_id,comment.x,preservative,final_volume,final_volume_unit,cas_rn,chemical_name,result_value,result_error_delta,result_type_code,reportable_result,detect_flag,lab_qualifiers,validator_qualifiers,interpreted_qualifiers,validated_yn,method_detection_limit,reporting_detection_limit,quantitation_limit,result_unit,detection_limit_unit,tic_retention_time,minimum_detectable_conc,counting_error,uncertainty,critical_value,validation_level,result_comment,qc_original_conc,qc_spike_added,qc_spike_measured,qc_spike_recovery,qc_dup_original_conc,qc_dup_spike_added,qc_dup_spike_measured,qc_dup_spike_recovery,qc_rpd,qc_spike_lcl,qc_spike_ucl,qc_rpd_cl,qc_spike_status,qc_dup_spike_status,qc_rpd_status,lab_sdg,X.data_provider,sample_matrix_code,sample_type_code,sample_source,parent_sample_code,sample_delivery_group,sample_date,sys_loc_code,start_depth,end_depth,depth_unit,chain_of_custody,sent_to_lab_date,sample_receipt_date,sampler,sampling_company_code,sampling_reason,sampling_technique,task_code,collection_quarter,composite_yn,composite_desc,sample_class,custom_field_1,custom_field_2,custom_field_3,comment.y
07-KEUK-0.3,07-KEUK-0.3-08012018-WS,N_DUPPARENT,07-KEUK-0.3-08012018-WS,E200.8,8/13/2018 15:22,T,NA,initial,WS,LB,NA,NA,1,E200.0,8/10/2018 0:00,NA,NA,ALSRNY,quant,R1807213-010,NA,10,mL,NA,NA,NA,NA,10,mL,7440-50-8,Copper,3,NA,TRG,Yes,Y,,NA,,NA,0.66,NA,1,ug/l,ug/l,NA,0.66,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1807213,ALSRNY,WS,N,Field,,R1807213,8/1/2018 12:30,Unknown,NA,NA,NA,NA,NA,8/2/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
07-KEUK-0.3,07-KEUK-0.3-08012018-WS,N_DUPPARENT,07-KEUK-0.3-08012018-WS,E200.8,8/13/2018 15:22,T,NA,initial,WS,LB,NA,NA,1,E200.0,8/10/2018 0:00,NA,NA,ALSRNY,quant,R1807213-010,NA,10,mL,NA,NA,NA,NA,10,mL,7439-92-1,Lead,0.61,NA,TRG,Yes,Y,J,NA,J,NA,0.067,NA,1,ug/l,ug/l,NA,0.067,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1807213,ALSRNY,WS,N,Field,,R1807213,8/1/2018 12:30,Unknown,NA,NA,NA,NA,NA,8/2/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
07-KEUK-0.3,07-KEUK-0.3-08012018-WS,N_DUPPARENT,07-KEUK-0.3-08012018-WS,E200.8,8/13/2018 15:22,T,NA,initial,WS,LB,NA,NA,1,E200.0,8/10/2018 0:00,NA,NA,ALSRNY,quant,R1807213-010,NA,10,mL,NA,NA,NA,NA,10,mL,7440-38-2,Arsenic,1,NA,TRG,Yes,Y,,NA,,NA,0.39,NA,1,ug/l,ug/l,NA,0.39,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1807213,ALSRNY,WS,N,Field,,R1807213,8/1/2018 12:30,Unknown,NA,NA,NA,NA,NA,8/2/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
07-KEUK-0.3,07-KEUK-0.3-08012018-WS,N_DUPPARENT,07-KEUK-0.3-08012018-WS,E200.8,8/13/2018 15:22,T,NA,initial,WS,LB,NA,NA,1,E200.0,8/10/2018 0:00,NA,NA,ALSRNY,quant,R1807213-010,NA,10,mL,NA,NA,NA,NA,10,mL,7440-43-9,Cadmium,NA,NA,TRG,Yes,N,U,NA,U,NA,0.064,0.064,1,ug/l,ug/l,NA,0.064,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1807213,ALSRNY,WS,N,Field,,R1807213,8/1/2018 12:30,Unknown,NA,NA,NA,NA,NA,8/2/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
07-KEUK-0.3,07-KEUK-0.3-08012018-WS,N_DUPPARENT,07-KEUK-0.3-08012018-WS,E200.8,8/13/2018 15:22,T,NA,initial,WS,LB,NA,NA,1,E200.0,8/10/2018 0:00,NA,NA,ALSRNY,quant,R1807213-010,NA,10,mL,NA,NA,NA,NA,10,mL,7440-66-6,Zinc,3.2,NA,TRG,Yes,Y,J,NA,J,NA,2.5,NA,5,ug/l,ug/l,NA,2.5,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1807213,ALSRNY,WS,N,Field,,R1807213,8/1/2018 12:30,Unknown,NA,NA,NA,NA,NA,8/2/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
07-KEUK-0.3,07-KEUK-0.3-08012018-WS,N_DUPPARENT,07-KEUK-0.3-08012018-WS,E300.0,8/13/2018 19:34,T,NA,initial,WS,LB,NA,NA,10,,,NA,NA,ALSRNY,quant,R1807213-010,NA,10,mL,NA,NA,NA,NA,10,mL,16887-00-6,CHLORIDE (AS CL),57.3,NA,TRG,Yes,Y,,NA,,NA,0.2,NA,2,mg/l,mg/l,NA,0.2,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1807213,ALSRNY,WS,N,Field,,R1807213,8/1/2018 12:30,Unknown,NA,NA,NA,NA,NA,8/2/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
07-KEUK-0.3,07-KEUK-0.3-08012018-WS,N_DUPPARENT,07-KEUK-0.3-08012018-WS,E353.2,8/2/2018 14:44,T,NA,initial,WS,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1807213-010,NA,10,mL,NA,NA,NA,NA,10,mL,14797-65-0,"NITROGEN, NITRITE",0.033,NA,TRG,Yes,Y,,NA,,NA,0.007,NA,0.01,mg/l,mg/l,NA,0.007,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1807213,ALSRNY,WS,N,Field,,R1807213,8/1/2018 12:30,Unknown,NA,NA,NA,NA,NA,8/2/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
07-KEUK-0.3,07-KEUK-0.3-08012018-WS,N_DUPPARENT,07-KEUK-0.3-08012018-WS,Calculation,8/22/2018 12:39,T,NA,initial,WS,LB,NA,NA,1,,8/21/2018 0:00,NA,NA,ALSRNY,quant,R1807213-010,NA,0,mL,NA,NA,NA,NA,NA,,KN,Nitrogen,1.38,NA,TRG,Yes,Y,,NA,,NA,NA,NA,0.1,mg/l,mg/l,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1807213,ALSRNY,WS,N,Field,,R1807213,8/1/2018 12:30,Unknown,NA,NA,NA,NA,NA,8/2/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
07-KEUK-0.3,07-KEUK-0.3-08012018-WS,N_DUPPARENT,07-KEUK-0.3-08012018-WS,D6919-09,8/15/2018 4:24,T,NA,initial,WS,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1807213-010,NA,10,mL,NA,NA,NA,NA,10,mL,7664-41-7,"Nitrogen, ammonia (As N)",0.0181,NA,TRG,Yes,Y,,NA,,NA,8.00E-04,NA,0.005,mg/l,mg/l,NA,8.00E-04,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1807213,ALSRNY,WS,N,Field,,R1807213,8/1/2018 12:30,Unknown,NA,NA,NA,NA,NA,8/2/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
07-KEUK-0.3,07-KEUK-0.3-08012018-WS,N_DUPPARENT,07-KEUK-0.3-08012018-WS,E351.2,8/22/2018 12:39,T,NA,initial,WS,LB,NA,NA,1,METHOD,8/21/2018 13:46,NA,NA,ALSRNY,quant,R1807213-010,NA,20,mL,NA,NA,NA,NA,20,mL,KN,"NITROGEN, KJELDAHL, TOTAL",0.45,NA,TRG,Yes,Y,,NA,,NA,0.08,NA,0.1,mg/l,mg/l,NA,0.08,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1807213,ALSRNY,WS,N,Field,,R1807213,8/1/2018 12:30,Unknown,NA,NA,NA,NA,NA,8/2/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
